k,cluster,variable,population,n,mean,q25,median,q75,scaled_median
4,0,built_frac,corrected_strict_fit,2294,0.060902473547589105,0.0259725263021502,0.04922725496458265,0.08405022667168732,-0.6248083523451832
4,0,avg_height_m,corrected_strict_fit,2294,7.7442925253968875,6.20047189393889,7.382207444080665,8.758049992574037,-0.6414592018928945
4,0,facade_to_site_ratio,corrected_strict_fit,2294,0.14396155777600475,0.056467508008502774,0.11132520219520495,0.20831727444019865,-0.46605237619489515
4,0,uwg_treecover,corrected_strict_fit,2294,0.012511781011219851,0.0,0.0009119317517695,0.013224328232235474,-0.49000832504294567
4,0,uwg_grasscover,corrected_strict_fit,2294,0.3879782698650832,0.3098264687271943,0.37055718919525926,0.4480778554483408,1.2645274603117551
4,1,built_frac,corrected_strict_fit,2335,0.1277669208523418,0.018813783095867898,0.1060912237466961,0.2059644934644389,-0.3886584228529079
4,1,avg_height_m,corrected_strict_fit,2335,8.29785199391099,6.228279612667391,8.110696854789737,9.951723697522372,-0.5429994402635662
4,1,facade_to_site_ratio,corrected_strict_fit,2335,0.17374488058140095,0.0344249940289289,0.132090692529261,0.28614576005219416,-0.42952833128404455
4,1,uwg_treecover,corrected_strict_fit,2335,0.00983175168441728,0.0,0.0018946541074392,0.016684708533975252,-0.4702271715230216
4,1,uwg_grasscover,corrected_strict_fit,2335,0.13015493332474481,0.073324016270465,0.1292885636235457,0.18556302364512575,0.07621513517322337
4,2,built_frac,corrected_strict_fit,2059,0.17990818127431024,0.1349048707403365,0.1842088350607063,0.22689153082284347,-0.0642444081612161
4,2,avg_height_m,corrected_strict_fit,2059,14.525469671506588,12.452046770917486,14.414373186694403,16.708102066583244,0.3089806433229028
4,2,facade_to_site_ratio,corrected_strict_fit,2059,0.4720602625309316,0.32427729399816907,0.4708389628579648,0.605918060529786,0.16628986707880836
4,2,uwg_treecover,corrected_strict_fit,2059,0.07725501541674762,0.058883120489927596,0.0737380980521598,0.0902078193464996,0.9759047759913927
4,2,uwg_grasscover,corrected_strict_fit,2059,0.14879936004225516,0.0755539354832199,0.1286105931831041,0.2130370170491623,0.0728759499453584
4,3,built_frac,corrected_strict_fit,3905,0.3524677875930536,0.2863197372550222,0.3342418665042141,0.3939538297159087,0.55882659014802
4,3,avg_height_m,corrected_strict_fit,3905,15.147818403024761,13.082228090178118,15.0470076198065,17.16690685413333,0.3944850234374931
4,3,facade_to_site_ratio,corrected_strict_fit,3905,0.7407537906471523,0.5971174055085346,0.7665099212211337,0.9163945638975676,0.6863401615030984
4,3,uwg_treecover,corrected_strict_fit,3905,0.0338713176134469,0.0197191977380849,0.0332965614854451,0.0476864554304191,0.16185975219355744
4,3,uwg_grasscover,corrected_strict_fit,3905,0.05392930947755935,0.013363863179344,0.0418944727020207,0.0814841071762044,-0.3542240698425043
7,0,built_frac,corrected_strict_fit,1407,0.04143009179891081,0.0099513815831067,0.0211496626430725,0.06308557970372095,-0.7414115650481821
7,0,avg_height_m,corrected_strict_fit,1407,6.473874956940578,5.367175235456405,6.3343135256717,7.566114985544058,-0.7830884196998414
7,0,facade_to_site_ratio,corrected_strict_fit,1407,0.062463162790815256,0.02019981246264345,0.0392001057737388,0.09023703279163695,-0.5929119021930229
7,0,uwg_treecover,corrected_strict_fit,1407,0.00392962090179704,0.0,0.0,0.0016890035203862,-0.5083645391632122
7,0,uwg_grasscover,corrected_strict_fit,1407,0.13405364900688843,0.0662002830353005,0.1333717430498261,0.20246702268923084,0.09632588279531258
7,1,built_frac,corrected_strict_fit,1798,0.05811386883888794,0.028463082652834724,0.04922725496458265,0.0784819811302288,-0.6248083523451832
7,1,avg_height_m,corrected_strict_fit,1798,7.550531599227677,6.263739534435514,7.328805894869044,8.514063594574736,-0.6486767451113955
7,1,facade_to_site_ratio,corrected_strict_fit,1798,0.1376015559403934,0.0633722689977981,0.11436327651229256,0.19392154781849405,-0.4607087622943927
7,1,uwg_treecover,corrected_strict_fit,1798,0.007254094818415443,0.0,0.0002659166746751,0.007973383077277775,-0.5030119199469014
7,1,uwg_grasscover,corrected_strict_fit,1798,0.40669014735274805,0.33286536474087713,0.39199255831558977,0.45992626237651385,1.3701023698517918
7,2,built_frac,corrected_strict_fit,976,0.11021270805599312,0.06979860230760934,0.10979170012851719,0.1481625279812258,-0.37329074354084146
7,2,avg_height_m,corrected_strict_fit,976,11.33505824044115,8.978903453140113,11.599432016451473,13.699659431853508,-0.07147572645868489
7,2,facade_to_site_ratio,corrected_strict_fit,976,0.2545398925761506,0.15282408696297872,0.2558148480404867,0.34532340161578096,-0.21191215464900912
7,2,uwg_treecover,corrected_strict_fit,976,0.08090116806655356,0.058174539563786175,0.07373407899765991,0.09715326214371794,0.9758238767082852
7,2,uwg_grasscover,corrected_strict_fit,976,0.2519039699579255,0.16742878692693794,0.24212720958665412,0.3205483089019335,0.6319755596054063
7,3,built_frac,corrected_strict_fit,1962,0.22354301373620103,0.168200160375242,0.2232242997542653,0.2733203049586835,0.09778260883782276
7,3,avg_height_m,corrected_strict_fit,1962,11.657242836247127,9.630654162209025,11.471310276632373,13.131290256487542,-0.08879215656278874
7,3,facade_to_site_ratio,corrected_strict_fit,1962,0.3895421681312942,0.27509360337648514,0.3829720306990402,0.5059583357501629,0.011742311267523729
7,3,uwg_treecover,corrected_strict_fit,1962,0.02116250385947696,0.008307610707828001,0.01968696622739985,0.03318192856748918,-0.11208689366244477
7,3,uwg_grasscover,corrected_strict_fit,1962,0.15120742314693744,0.09219151682383125,0.14328343224036189,0.20611469801166293,0.14514359541810504
7,4,built_frac,corrected_strict_fit,1498,0.2350505185501938,0.19584375770820675,0.2315946799443372,0.27241107189108715,0.13254389500979272
7,4,avg_height_m,corrected_strict_fit,1498,16.749543557925563,14.992315027899535,16.729218518438863,18.26091744418428,0.6218460278045784
7,4,facade_to_site_ratio,corrected_strict_fit,1498,0.6635480574585574,0.5355704560927416,0.6534518995580391,0.7888729906318688,0.48748445454285677
7,4,uwg_treecover,corrected_strict_fit,1498,0.07532190462533775,0.062393479662690224,0.07190391459600734,0.083743128369932,0.9389846181049555
7,4,uwg_grasscover,corrected_strict_fit,1498,0.08365756014048993,0.04106171166238498,0.0777137570527047,0.11644468719157,-0.17780454173064106
7,5,built_frac,corrected_strict_fit,2562,0.35314595221490375,0.30900022407796973,0.3464728177447137,0.393180660862241,0.6096204115243424
7,5,avg_height_m,corrected_strict_fit,2562,15.39948946506109,13.514821455508635,15.276784845567558,17.143097818250588,0.4255408089351318
7,5,facade_to_site_ratio,corrected_strict_fit,2562,0.8430533442200081,0.7081722181884118,0.8338740199932551,0.9817734773239679,0.8048256549516583
7,5,uwg_treecover,corrected_strict_fit,2562,0.03411831113423498,0.022954847410610622,0.03449515687996705,0.04580683888837413,0.1859861998830018
7,5,uwg_grasscover,corrected_strict_fit,2562,0.04233843403146159,0.0089499562188693,0.032789517726602796,0.06564890947200615,-0.39906840130699694
7,6,built_frac,corrected_strict_fit,390,0.5616877245995624,0.4661949688929631,0.5351205799019827,0.6310973270194563,1.393054221834246
7,6,avg_height_m,corrected_strict_fit,390,12.917002435931309,9.874845633017266,12.214561375914329,15.515831067167344,0.011662736796344532
7,6,facade_to_site_ratio,corrected_strict_fit,390,0.25295935411291753,0.13813558542640292,0.18540116432920925,0.2861468218576737,-0.3357615078227843
7,6,uwg_treecover,corrected_strict_fit,390,0.009485127933822494,0.0,0.00504497111514185,0.017393732463789426,-0.40681464813199064
7,6,uwg_grasscover,corrected_strict_fit,390,0.037810397834447465,0.010647166532718126,0.027120594376225403,0.056114507793098276,-0.42698936065907306
8,0,built_frac,corrected_strict_fit,1337,0.04562563213072464,0.009446438769741,0.0210111311648421,0.06899281102604,-0.741986871336456
8,0,avg_height_m,corrected_strict_fit,1337,6.449607454284971,5.314417514305752,6.3125434419616155,7.533792396945289,-0.7860307785333887
8,0,facade_to_site_ratio,corrected_strict_fit,1337,0.06348431516809418,0.0194194756514454,0.0382347631346025,0.0923126763208447,-0.5946098258798211
8,0,uwg_treecover,corrected_strict_fit,1337,0.003727189215782899,0.0,0.0,0.0014661879567685,-0.5083645391632122
8,0,uwg_grasscover,corrected_strict_fit,1337,0.1228385796909859,0.0606071353008256,0.121115920982518,0.1816993385163522,0.035962690595014814
8,1,built_frac,corrected_strict_fit,353,0.05444708927077569,0.0187194232038161,0.0448789218288124,0.0805762558076325,-0.6428665108841288
8,1,avg_height_m,corrected_strict_fit,353,8.564947430171767,5.447820760379005,7.83445470836173,10.828940558962714,-0.5803352415661571
8,1,facade_to_site_ratio,corrected_strict_fit,353,0.12069344226908257,0.0322022667358949,0.092150491699999,0.1936549427888441,-0.4997784272542762
8,1,uwg_treecover,corrected_strict_fit,353,0.08515033173050576,0.0652483228784741,0.0795512553950846,0.1002629839041344,1.0929174369657184
8,1,uwg_grasscover,corrected_strict_fit,353,0.4183053145057053,0.3340629454796478,0.4044094100613649,0.4894077669426556,1.4312586761637236
8,2,built_frac,corrected_strict_fit,1850,0.05848967839623987,0.028522295036742425,0.0495014618468345,0.07871750410842168,-0.623669600736793
8,2,avg_height_m,corrected_strict_fit,1850,7.535525769733368,6.296122176426947,7.338720316357261,8.491195820436666,-0.647336750923323
8,2,facade_to_site_ratio,corrected_strict_fit,1850,0.13678216310838964,0.06341664506648173,0.11278513661778915,0.19303805653887698,-0.46348452397664475
8,2,uwg_treecover,corrected_strict_fit,1850,0.005402620976319766,0.0,9.313225746154785e-16,0.0065168143288622995,-0.5083645391631935
8,2,uwg_grasscover,corrected_strict_fit,1850,0.3928822195123088,0.31983049814114406,0.3788539766115939,0.4479490522628811,1.3053913510166586
8,3,built_frac,corrected_strict_fit,998,0.1643427073589314,0.12212037376037632,0.16225377507921612,0.20040912676186554,-0.1554214043799256
8,3,avg_height_m,corrected_strict_fit,998,13.668972056874036,11.784310907176822,13.561204924621677,15.569485062982734,0.19366977884290262
8,3,facade_to_site_ratio,corrected_strict_fit,998,0.39365373764431527,0.29148141741206357,0.401385867577773,0.4969361399388891,0.044130075501384085
8,3,uwg_treecover,corrected_strict_fit,998,0.08806830106660662,0.06749703837680703,0.08274044552461395,0.10207797166936715,1.157112434863629
8,3,uwg_grasscover,corrected_strict_fit,998,0.13581965553962633,0.07471147647304108,0.12545304691595205,0.19450436093887635,0.057324192490111954
8,4,built_frac,corrected_strict_fit,1906,0.20309702687321957,0.15159045875289415,0.2044597970686889,0.2538463874249245,0.019855652962904608
8,4,avg_height_m,corrected_strict_fit,1906,12.042739665817768,9.904442763486726,11.83927962216653,13.503305136021599,-0.039058868040545806
8,4,facade_to_site_ratio,corrected_strict_fit,1906,0.40264081485942604,0.2878923565861468,0.3918331752462399,0.5186665135261391,0.027328017947065658
8,4,uwg_treecover,corrected_strict_fit,1906,0.023792606696022196,0.011369725624685575,0.0226724007174677,0.0364313374982648,-0.051993279600451026
8,4,uwg_grasscover,corrected_strict_fit,1906,0.17022433121375685,0.11024344114187509,0.1646341610605882,0.22902839542316084,0.2503016289073129
8,5,built_frac,corrected_strict_fit,1691,0.27321430515574663,0.23184327634388616,0.2685741604659773,0.31303598354937867,0.2861156893266387
8,5,avg_height_m,corrected_strict_fit,1691,17.019677423463975,15.42104310229651,16.945665782379045,18.408262807299252,0.6511001881253542
8,5,facade_to_site_ratio,corrected_strict_fit,1691,0.7570105663235083,0.6379162441677282,0.7562742622770015,0.8668513369879645,0.6683368463415723
8,5,uwg_treecover,corrected_strict_fit,1691,0.061628585601316954,0.05176054557462665,0.0606390852208733,0.07143335219703609,0.7122356101479494
8,5,uwg_grasscover,corrected_strict_fit,1691,0.06588458522391133,0.02557562282190875,0.0627534127193003,0.0974413681782195,-0.2514882273635114
8,6,built_frac,corrected_strict_fit,1983,0.3746126001044853,0.3271879371921883,0.3650270539310249,0.4109037940111194,0.6866741533053528
8,6,avg_height_m,corrected_strict_fit,1983,14.995678834052137,13.177565591251646,14.76621023962162,16.73669981284516,0.35653355466839604
8,6,facade_to_site_ratio,corrected_strict_fit,1983,0.8482714120049076,0.7067866950716305,0.836355890910521,0.9952983889165852,0.80919097276438
8,6,uwg_treecover,corrected_strict_fit,1983,0.02856894818657582,0.0191827615267012,0.0285694894762169,0.0386028929665775,0.06670883131056157
8,6,uwg_grasscover,corrected_strict_fit,1983,0.036876095391767345,0.00743184676565465,0.0285633494005417,0.056053392087746096,-0.4198834073943747
8,7,built_frac,corrected_strict_fit,475,0.5062260240179548,0.3836696829939008,0.4718773018682697,0.602826008198416,1.1304117090376464
8,7,avg_height_m,corrected_strict_fit,475,11.583133739869659,9.284256103334034,10.610803809922167,13.913213430916393,-0.20509482390055483
8,7,facade_to_site_ratio,corrected_strict_fit,475,0.20526426425877498,0.13506077004716577,0.1821387038689785,0.25896459878681094,-0.34149979044710155
8,7,uwg_treecover,corrected_strict_fit,475,0.00810849394733857,0.0,0.0032054670973122,0.0140942644763723,-0.44384190325371653
8,7,uwg_grasscover,corrected_strict_fit,475,0.05819993843798524,0.0212747182116413,0.048108671295762,0.08614598053096785,-0.32361748449680044
