k,inertia,silhouette,davies_bouldin,calinski_harabasz,min_cluster_size,max_cluster_size,min_cluster_share,max_cluster_share,neighbor_label_agreement,spatial_components,singleton_components,weighted_largest_component_share,minimum_cluster_largest_component_share,spatial_stability_ari_mean,spatial_stability_ari_p10,spatial_stability_ari_std,spatial_center_shift_mean,inertia_reduction_from_previous,elbow_curvature
2,11653.835422977314,0.404904569902352,0.9834358037099901,8902.53668962595,4562,6031,0.4306617577645615,0.5693382422354385,0.9591094295692666,42.0,12.0,0.9058812423298405,0.827268741779921,0.977257312010134,0.94520725905426,0.01711401570179131,0.04932520696137846,,
3,9581.162382574024,0.3301743280738395,1.2214376196266532,6559.166718424846,2301,4224,0.2172189181534976,0.3987538940809969,0.9117190531625922,96.0,19.0,0.7317096195600868,0.3124728378965667,0.826735202064099,0.41084699523931273,0.21357853940110394,0.2436428209112905,0.17785329594724653,-0.007076615353202809
4,7809.318873009408,0.29821821436571677,1.217199764895673,6165.228811258451,2193,3709,0.20702350608892664,0.3501368828471632,0.8770372526193247,158.0,46.0,0.6439157934485037,0.2950296397628819,0.9251293666461976,0.8767608295716863,0.03341092473203357,0.07139662615344675,0.18492991130044933,0.04960923182324217
5,6752.556536859597,0.28573480989616695,1.1309724508205825,5761.314819962171,1525,3075,0.14396299443028415,0.29028603794958935,0.8646197128443927,197.0,56.0,0.5526290946851694,0.2127536231884058,0.9018234094024834,0.8704107727791844,0.0726422742523689,0.085171006508315,0.13532067947720716,0.030583595783375772
6,6045.313457711205,0.277644589611879,1.1473573025347257,5395.488826683159,961,2136,0.09072028698196923,0.20164259416595864,0.8407062475746993,212.0,52.0,0.4852260927027282,0.16337148803329865,0.6761794653988396,0.5827930741603096,0.0839105211521751,0.32393561442044383,0.10473708369383139,-0.006202144965488654
7,5374.651045708917,0.3048986184185618,1.0559375661487598,5276.9643602503675,498,2477,0.04701217785329935,0.23383366374020578,0.847836631742336,237.0,71.0,0.5309166430661758,0.18140929535232383,0.8412112277846028,0.717940022169386,0.08053155544737071,0.2018836669753806,0.11093922865932004,0.024695157885676
8,4911.119260539157,0.29872339379189716,1.1080465570303768,5092.279589428609,382,2017,0.03606155008024167,0.19040876050221844,0.830908032596042,282.0,83.0,0.5071273482488435,0.1576305220883534,0.9067329110349993,0.8730141511485103,0.07238939582901276,0.10339088295617224,0.08624407077364404,0.010462150370159184
9,4538.945211644957,0.2894795863003524,1.1322392088649442,4929.148087542616,294,1759,0.027754177286887567,0.16605305390352118,0.8126212650368646,303.0,89.0,0.4489757386953649,0.1895424836601307,0.8683139789431842,0.7498952796097392,0.07598052420129683,0.10902892723599925,0.07578192040348486,0.010977072396621601
10,4244.799557092826,0.2640226079140367,1.145021685120366,4766.113906648315,294,1807,0.027754177286887567,0.17058434815444162,0.7927337989910749,357.0,98.0,0.377135844425564,0.2055800293685756,0.7338182099707399,0.590218138785266,0.14883732026223295,0.21159006781520168,0.06480484800686326,-0.002859514147689035
11,3957.577902588214,0.25337021035902846,1.1168282920280808,4677.165238410009,274,1482,0.025866138015670725,0.13990370999716795,0.7823535118354676,397.0,115.0,0.3615595204380251,0.20985155195681512,0.9117461159074646,0.8815151841049552,0.024237110956862182,0.06544178726826147,0.0676643621545523,0.025102889684934238
12,3789.137559640837,0.2587144433043268,1.1174212804237615,4483.341611838476,277,1440,0.02614934390635325,0.13593882752761258,0.7722642607683353,458.0,134.0,0.3796846974417068,0.18078175895765472,0.795889422549663,0.724908590161669,0.06847253626653257,0.20201712692539142,0.042561472469618056,
