k,cluster,strict_fit_n,p95,p99
4,0,2294,1.6571475614824724,2.4622078018072626
4,1,2335,1.257296354285961,1.5166360712124611
4,2,2059,1.6511915664576693,2.433850004366939
4,3,3905,1.5686454458319985,2.309056237138872
7,0,1407,0.8518048407449167,0.9531081591985848
7,1,1798,1.1946311273794783,2.087855001693907
7,2,976,1.8959567839515632,2.5924344574660827
7,3,1962,1.0503663465641848,1.4881082927333809
7,4,1498,1.1214661439209037,1.5584088750507454
7,5,2562,0.9756295506778894,1.23859179385955
7,6,390,1.2059151978789302,1.348942836804188
8,0,1337,0.8787426877279548,1.0638962447555413
8,1,353,1.573757863326482,1.9920556625317996
8,2,1850,1.0802734466688209,1.5623853706124295
8,3,998,1.4187425903793154,2.018524218017285
8,4,1906,1.113800271104017,1.5903705232958438
8,5,1691,1.0210747085381913,1.3461802419923286
8,6,1983,1.0007272080426093,1.239126427066478
8,7,475,1.3862107642863115,1.6805262028247592
