category,period,hours,precision_decimals,uhi_mean_c,rmse_vs_caselle_c
A,annual,8760,1,1.6885045662100457,2.4410003844146213
A,daytime_07_18,4380,1,0.2762100456621004,1.2917900220961667
A,nighttime_19_06,4380,1,3.100799086757991,3.2012879114877255
A,summer_apr_sep,4392,1,1.6323315118397084,2.394758430763363
A,summer_apr_sep_daytime_07_18,2196,1,0.12149362477231322,0.9518173586108868
A,summer_apr_sep_nighttime_19_06,2196,1,3.1431693989071037,3.250196855464512
A,winter_oct_mar,4368,1,1.7449862637362639,2.48662953919587
A,winter_oct_mar_daytime_07_18,2184,1,0.4317765567765568,1.5606657732127196
A,winter_oct_mar_nighttime_19_06,2184,1,3.0581959706959707,3.151344994557923
B,annual,8760,1,1.7454223744292237,2.505663220290385
B,daytime_07_18,4380,1,0.29981735159817346,1.3122621550095543
B,nighttime_19_06,4380,1,3.191027397260274,3.2916051378562474
B,summer_apr_sep,4392,1,1.6814435336976319,2.452041359887939
B,summer_apr_sep_daytime_07_18,2196,1,0.1379326047358834,0.9605065641342546
B,summer_apr_sep_nighttime_19_06,2196,1,3.224954462659381,3.3320325330730483
B,winter_oct_mar,4368,1,1.8097527472527473,2.558446830237084
B,winter_oct_mar_daytime_07_18,2184,1,0.46259157509157506,1.5893028973841643
B,winter_oct_mar_nighttime_19_06,2184,1,3.1569139194139195,3.2504486869764095
C,annual,8760,1,1.8137100456621005,2.5782704106633743
C,daytime_07_18,4380,1,0.33664383561643835,1.338107605340587
C,nighttime_19_06,4380,1,3.290776255707762,3.3918173089855896
C,summer_apr_sep,4392,1,1.7464708561020037,2.5234839629915244
C,summer_apr_sep_daytime_07_18,2196,1,0.16703096539162113,0.9747121381602196
C,summer_apr_sep_nighttime_19_06,2196,1,3.325910746812386,3.433056782325913
C,winter_oct_mar,4368,1,1.8813186813186813,2.632208400235639
C,winter_oct_mar_daytime_07_18,2184,1,0.5071886446886447,1.6234586942291238
C,winter_oct_mar_nighttime_19_06,2184,1,3.2554487179487177,3.349839398041941
D,annual,8760,1,1.9472831050228308,2.6903768981094967
D,daytime_07_18,4380,1,0.448310502283105,1.3752940739908457
D,nighttime_19_06,4380,1,3.4462557077625573,3.547509255492961
D,summer_apr_sep,4392,1,1.8898679417122037,2.6411350329536507
D,summer_apr_sep_daytime_07_18,2196,1,0.2881147540983606,1.001067281093057
D,summer_apr_sep_nighttime_19_06,2196,1,3.4916211293260475,3.5984792375828873
D,winter_oct_mar,4368,1,2.005013736263736,2.7389968853083673
D,winter_oct_mar_daytime_07_18,2184,1,0.6093864468864468,1.6690171155108422
D,winter_oct_mar_nighttime_19_06,2184,1,3.4006410256410255,3.4955099404221044
