grid_id,grid_row,grid_col,center_x_3003,center_y_3003,center_lon,center_lat,fit_eligible,edge_support,qa_score,qa_reasons,exclusion_reason,assignment_status,building_fraction,avg_height_m,facade_to_site_ratio,uwg_tree_cover_fraction,uwg_grass_cover_fraction,road_fraction,green_pct,tree_canopy_pct,tree_count,tree_density_ha,tree_mean_height_m,building_count,height_valid_footprint_frac,cluster_k4_provisional,cluster_k4_label,distance_to_medoid_k4,distance_ratio_p95_k4,outlier_gt_cluster_p99_k4,cluster_k7_provisional,cluster_k7_label,distance_to_medoid_k7,distance_ratio_p95_k7,outlier_gt_cluster_p99_k7,cluster_k8_provisional,cluster_k8_label,distance_to_medoid_k8,distance_ratio_p95_k8,outlier_gt_cluster_p99_k8,epw_category,epw_category_name,representative_k7_cluster,representative_grid_id,epw_filename,release_version,archived_building_fraction,archived_avg_height_m,archived_facade_to_site_ratio,archived_uwg_tree_cover_fraction,archived_uwg_grass_cover_fraction,canopy_area_delta_m2,canopy_corrected_gt_2p5_m2,archived_k4,archived_k7,archived_k8,c6_out_of_domain,epw_recommendation_available,recommendation_status
1,0,50,1393050.0,4984650.0,7.64254016774982,45.007055246039215,False,True,1,municipal_boundary_support_incomplete,municipal_edge_support,edge_provisional,0.0250117432014218,5.417138541665814,0.0321520266685009,0.0046424702889098,0.1028238154426194,0.0299215067747648,10.746628573152934,0.4642470288909867,30,1.2,,54,1.0,1.0,"open, low-rise, mixed-green",0.5065035141231764,0.40285133444996585,False,0.0,"open, low-rise, mixed-green",0.30871015034718635,0.3624188729395039,False,0.0,"open, low-rise, mixed-green",0.22518775676260355,0.25626131506691774,False,A,Open low-rise,1.0,3788.0,torino_urban_epw_A_v0.2.0.epw,0.2.0,0.0250117432014218,5.417138541665814,0.0321520266685009,0.0046424702889098,0.1028238154426194,0.0,False,1.0,0.0,0.0,False,True,provisional
2,0,51,1393150.0,4984650.0,7.643808732413723,45.00707032376236,False,True,1,municipal_boundary_support_incomplete,municipal_edge_support,edge_provisional,0.0268420331735125,5.286413740558645,0.0331861171141344,0.0067236341028803,0.0699545809840158,0.0335009762601245,7.667821508689622,0.6723634102880389,44,1.76,,55,1.0,1.0,"open, low-rise, mixed-green",0.5447568305038972,0.43327639394395084,False,0.0,"open, low-rise, mixed-green",0.4400131110644403,0.5165656380628713,False,0.0,"open, low-rise, mixed-green",0.3823463232210607,0.43510612214554123,False,A,Open low-rise,1.0,3788.0,torino_urban_epw_A_v0.2.0.epw,0.2.0,0.0268420331735125,5.286413740558645,0.0331861171141344,0.0067236341028803,0.0699545809840158,0.0,False,1.0,0.0,0.0,False,True,provisional
3,0,52,1393250.0,4984650.0,7.645077298076416,45.00708538739862,False,True,1,municipal_boundary_support_incomplete,municipal_edge_support,edge_provisional,0.0264538534188583,5.325764298426103,0.0304546280998896,0.0069166181402604,0.0421757448623315,0.0381554669648648,4.909236300259206,0.6916618140260439,46,1.84,9.5,44,1.0,1.0,"open, low-rise, mixed-green",0.6080116689830758,0.4835865998580545,False,0.0,"open, low-rise, mixed-green",0.5513509810215781,0.6472738292252637,False,0.0,"open, low-rise, mixed-green",0.507696381131034,0.5777531787419083,False,A,Open low-rise,1.0,3788.0,torino_urban_epw_A_v0.2.0.epw,0.2.0,0.0264538534188583,5.325764298426103,0.0304546280998896,0.0069166181402604,0.0421757448623316,-2.273736754432321e-13,False,1.0,0.0,0.0,False,True,provisional
4,1,49,1392950.0,4984750.0,7.641250319661128,45.00794007510436,False,True,1,municipal_boundary_support_incomplete,municipal_edge_support,edge_provisional,0.02665770647378,5.915257559681615,0.03517563177842,0.0119431568093652,0.2198823670021669,0.0647246760581683,23.182552381153226,1.1943156809365294,94,3.76,14.796296296296296,52,1.0,1.0,"open, low-rise, mixed-green",0.7051948006787044,0.5608819259475194,False,0.0,"open, low-rise, mixed-green",0.48352029285837633,0.567642105010263,False,0.0,"open, low-rise, mixed-green",0.47039569558182565,0.5353053881996602,False,A,Open low-rise,1.0,3788.0,torino_urban_epw_A_v0.2.0.epw,0.2.0,0.02665770647378,5.915257559681615,0.03517563177842,0.0119431568093652,0.2198823670021669,0.0,False,1.0,0.0,0.0,False,True,provisional
5,1,50,1393050.0,4984750.0,7.64251890317748,45.007955167385184,False,True,1,municipal_boundary_support_incomplete,municipal_edge_support,edge_provisional,0.0258181731014132,5.444714694120679,0.0336261371568281,0.016883644240091,0.2029469187861423,0.0704638902361194,21.983056302623343,1.6883644240091067,117,4.68,11.58,55,1.0,1.0,"open, low-rise, mixed-green",0.6912261787465676,0.5497718786746392,False,0.0,"open, low-rise, mixed-green",0.500991009384555,0.5881523389165416,False,0.0,"open, low-rise, mixed-green",0.47570062961069076,0.5413423477134643,False,A,Open low-rise,1.0,3788.0,torino_urban_epw_A_v0.2.0.epw,0.2.0,0.0258181731014132,5.444714694120679,0.0336261371568281,0.016883644240091,0.2029469187861424,-9.094947017729282e-13,False,1.0,0.0,0.0,False,True,provisional
6,1,51,1393150.0,4984750.0,7.643787487693615,45.00797024557877,False,True,1,municipal_boundary_support_incomplete,municipal_edge_support,edge_provisional,0.0268420331735125,5.286413740558645,0.0331861171141344,0.0210172077394508,0.1669737918889523,0.072819017728336,18.799099962840327,2.1017207739450883,138,5.52,9.117647058823527,55,0.9999999999999998,1.0,"open, low-rise, mixed-green",0.6285271558187309,0.4999037447902898,False,0.0,"open, low-rise, mixed-green",0.48834601600585775,0.5733073970075018,False,0.0,"open, low-rise, mixed-green",0.46105690851889075,0.5246779460674463,False,A,Open low-rise,1.0,3788.0,torino_urban_epw_A_v0.2.0.epw,0.2.0,0.0268420331735125,5.286413740558645,0.0331861171141344,0.0210172077394508,0.1669737918889524,0.0,False,1.0,0.0,0.0,False,True,provisional
7,1,52,1393250.0,4984750.0,7.645056073208596,45.00798530968501,False,True,1,municipal_boundary_support_incomplete,municipal_edge_support,edge_provisional,0.0264538534188583,5.325764298426104,0.0304546280998896,0.0217739686168115,0.1402636266757836,0.0757750962845744,16.203759529259525,2.177396861681155,143,5.72,8.767857142857142,44,1.0,1.0,"open, low-rise, mixed-green",0.5889782670911093,0.4684482422010996,False,0.0,"open, low-rise, mixed-green",0.4789780120712327,0.5623095680606357,False,0.0,"open, low-rise, mixed-green",0.4533240322353184,0.5158780136281038,False,A,Open low-rise,1.0,3788.0,torino_urban_epw_A_v0.2.0.epw,0.2.0,0.0264538534188583,5.325764298426104,0.0304546280998896,0.0217739686168115,0.1402636266757837,0.0,False,1.0,0.0,0.0,False,True,provisional
8,1,53,1393350.0,4984750.0,7.646324659721488,45.00800035970388,False,True,1,municipal_boundary_support_incomplete,municipal_edge_support,edge_provisional,0.0251512545174288,5.429124678364414,0.0247167525504956,0.0178352585068975,0.1832687086714273,0.0778633462392261,20.11039671783249,1.7835258506897564,117,4.68,8.5625,26,1.0,1.0,"open, low-rise, mixed-green",0.6442986502263772,0.512447720086077,False,0.0,"open, low-rise, mixed-green",0.4630980285330522,0.5436668194184782,False,0.0,"open, low-rise, mixed-green",0.4354417122652603,0.49552812028640897,False,A,Open low-rise,1.0,3788.0,torino_urban_epw_A_v0.2.0.epw,0.2.0,0.0251512545174288,5.429124678364414,0.0247167525504956,0.0178352585068975,0.1832687086714273,-9.094947017729282e-13,False,1.0,0.0,0.0,False,True,provisional
9,1,54,1393450.0,4984750.0,7.647593247231368,45.0080153956354,False,True,1,municipal_boundary_support_incomplete,municipal_edge_support,edge_provisional,0.011266596169498,9.650856319043962,0.0184430204360393,0.0183633744870512,0.1934113678074223,0.1022993139822751,21.17747422944736,1.8363374487051216,133,5.32,10.511627906976743,12,1.0,1.0,"open, low-rise, mixed-green",0.6848546136043486,0.5447042069833159,False,0.0,"open, low-rise, mixed-green",0.5597667835563306,0.6571537948373313,False,0.0,"open, low-rise, mixed-green",0.6757196869361837,0.7689619457128001,False,A,Open low-rise,1.0,3788.0,torino_urban_epw_A_v0.2.0.epw,0.2.0,0.011266596169498,9.650856319043962,0.0184430204360393,0.0183633744870512,0.1934113678074223,0.0,False,1.0,0.0,0.0,False,True,provisional
10,1,55,1393550.0,4984750.0,7.648861835737299,45.008030417479475,False,True,1,municipal_boundary_support_incomplete,municipal_edge_support,edge_provisional,0.0156853639942632,9.529711538783172,0.024840396095247,0.0211536788897774,0.1932352138677037,0.1075889501410159,21.438889275748117,2.1153678889777403,157,6.28,11.941605839416058,15,1.0,1.0,"open, low-rise, mixed-green",0.6834682183470022,0.5436015272112635,False,0.0,"open, low-rise, mixed-green",0.5814823866759404,0.6826474315025317,False,0.0,"open, low-rise, mixed-green",0.6933711137788013,0.7890490850871903,False,A,Open low-rise,1.0,3788.0,torino_urban_epw_A_v0.2.0.epw,0.2.0,0.0156853639942632,9.529711538783172,0.024840396095247,0.0211536788897774,0.1932352138677037,-1.8189894035458565e-12,False,1.0,0.0,0.0,False,True,provisional
