scenario,min_cluster_size,min_samples,n_clusters,coverage,noise_fraction,silhouette_nonnoise,ari_nonnoise,ari_all_noise_as_one_label,c6_coverage,c6_n,c6_best_jaccard,c6_best_recall,c6_best_precision,this_invocation_seconds
hdbscan_mcs50_ms5,50,5,7,0.5023128481072406,0.4976871518927593,0.2664062585604345,0.5136945395585005,0.2105895815186666,0.3564102564102564,390,0.2384615384615384,0.2384615384615384,1.0,0.0270902500005831
hdbscan_mcs50_ms15,50,15,4,0.4626640234116869,0.537335976588313,0.3946705851992085,0.5086953492113676,0.1814894455572286,0.3051282051282051,390,0.2230769230769231,0.2230769230769231,1.0,0.0239192090002688
hdbscan_mcs50_ms30,50,30,4,0.4181062966109695,0.5818937033890305,0.4131785749154912,0.5307889321491622,0.1582184804571472,0.1641025641025641,390,0.1641025641025641,0.1641025641025641,1.0,0.0249404160003905
hdbscan_mcs100_ms5,100,5,3,0.5051449070140659,0.4948550929859341,0.3704746067726335,0.495235660300641,0.2132511363755928,0.1076923076923077,390,0.0141939844542075,0.1076923076923077,0.0160857908847185,0.0248922079999829
hdbscan_mcs100_ms15,100,15,2,0.4475597092419522,0.5524402907580478,0.6250988220112357,0.4955368583455463,0.1743744968480023,0.082051282051282,390,0.0121520972167777,0.0794871794871794,0.0141423357664233,0.0252650000002176
hdbscan_mcs100_ms30,100,30,2,0.4073444727650335,0.5926555272349665,0.646343965852628,0.5194112960027228,0.1534086415977135,0.0,390,0.0,0.0,0.0,0.0250587079999604
hdbscan_mcs200_ms5,200,5,2,0.4947606910223732,0.5052393089776267,0.600146680175608,0.4886981176666385,0.213038956491183,0.1076923076923077,390,0.0141939844542075,0.1076923076923077,0.0160857908847185,0.0251162080003268
hdbscan_mcs200_ms15,200,15,2,0.4475597092419522,0.5524402907580478,0.6250988220112357,0.4955368583455463,0.1743744968480023,0.082051282051282,390,0.0121520972167777,0.0794871794871794,0.0141423357664233,0.0270245829997293
hdbscan_mcs200_ms30,200,30,2,0.4073444727650335,0.5926555272349665,0.646343965852628,0.5194112960027228,0.1534086415977135,0.0,390,0.0,0.0,0.0,0.0254896249998637
hdbscan_mcs400_ms5,400,5,2,0.4947606910223732,0.5052393089776267,0.600146680175608,0.4886981176666385,0.213038956491183,0.1076923076923077,390,0.0141939844542075,0.1076923076923077,0.0160857908847185,0.0240048330006175
hdbscan_mcs400_ms15,400,15,2,0.4475597092419522,0.5524402907580478,0.6250988220112357,0.4955368583455463,0.1743744968480023,0.082051282051282,390,0.0121520972167777,0.0794871794871794,0.0141423357664233,0.025089208999816
hdbscan_mcs400_ms30,400,30,2,0.4073444727650335,0.5926555272349665,0.646343965852628,0.5194112960027228,0.1534086415977135,0.0,390,0.0,0.0,0.0,0.0243367499997475
