sample_id,selection_group,selection_role,selection_tier,cluster,cluster_medoid_grid_id,four_file_representative_cluster,grid_id,grid_row,grid_col,center_lon,center_lat,center_x_3003,center_y_3003,macroblock_id,distance_stratum,distance_percentile,distance_to_medoid_k7,second_nearest_cluster,second_nearest_distance,assignment_margin,relative_assignment_margin,cleanup_cluster,cleanup_changed,spatial_component_id,spatial_component_size,same_label_neighbor_share,stratum_population,stratum_sample_size,inclusion_probability,within_cluster_weight,citywide_nonmedoid_weight,built_frac,avg_height_m,facade_to_site_ratio,uwg_treecover,uwg_grasscover,charlength_m,road_frac,green_pct,tree_canopy_pct,tree_count,tree_density_ha,tree_mean_height_m,building_count,height_valid_footprint_frac
C0_distance_stratified_random_6001,probability_sample,distance_stratified_random,preferred,0,12618,1,6001,67,132,7.745248014885036,45.068541721409254,1401250.0,4991350.0,6_13,D00_25,0.0362731152204836,0.1836015073453886,1,1.1765986251342593,0.9929971177888706,0.8439557012703136,0,False,C0_component_0014,340,1.0,351.0,3.0,0.0085470085470085,0.0832147937411095,0.011052333270357,0.0310831873977427,7.420408970606594,0.0562686805405967,0.0,0.1745388903439252,500,0.0667811782051444,17.45388903439252,0.0,0,0.0,,67,0.9409284702248832
C0_distance_stratified_random_11610,probability_sample,distance_stratified_random,preferred,0,12618,1,11610,119,84,7.683214950833288,45.11465144812712,1396450.0,4996550.0,11_8,D00_25,0.096728307254623,0.2563519123678072,1,1.1911681534049858,0.9348162410371784,0.7847894844778895,0,False,C0_component_0036,612,1.0,351.0,3.0,0.0085470085470085,0.0832147937411095,0.011052333270357,0.0274416373525027,5.884981867244504,0.043838690486568,0.0,0.1755313618912283,500,0.0370588461811427,17.553136189122835,0.0,0,0.0,,70,0.9825026504153076
C0_distance_stratified_random_12811,probability_sample,distance_stratified_random,preferred,0,12618,1,12811,139,83,7.68152929664189,45.13263512864576,1396350.0,4998550.0,13_8,D00_25,0.131578947368421,0.2859899261763833,3,1.1776714076465589,0.8916814814701755,0.7571564323295397,0,False,C0_component_0036,612,1.0,351.0,3.0,0.0085470085470085,0.0832147937411095,0.011052333270357,0.0420477383428866,7.264166023421631,0.0784936402511484,0.0001525895596463,0.0818342144491421,500,0.0658216411013159,8.198680400878851,0.0152589559646377,2,0.08,9.5,102,0.9132169734876892
C0_distance_stratified_random_1754,probability_sample,distance_stratified_random,preferred,0,12618,1,1754,28,64,7.659712164622261,45.03246297649031,1394450.0,4987450.0,2_6,D25_50,0.4907539118065434,0.5088651276836342,3,1.0523765722518517,0.5435114445682173,0.5164609882992965,0,False,C0_component_0006,17,0.75,352.0,3.0,0.0085227272727272,0.0834518729255571,0.0110838213993324,0.1061564859218727,7.908405146663617,0.0645383192864259,0.0001284886273377,0.0585152757001056,500,0.3658273767329203,5.864376432744331,0.0128488627337706,2,0.08,9.0,77,0.985261013557286
C0_distance_stratified_random_3692,probability_sample,distance_stratified_random,preferred,0,12618,1,3692,46,117,7.726618212928142,45.049431938501975,1399750.0,4989250.0,4_11,D25_50,0.3065433854907539,0.4007397867598483,1,1.0729539023743828,0.6722141156145345,0.6265079181192825,0,False,C0_component_0014,340,1.0,352.0,3.0,0.0085227272727272,0.0834518729255571,0.0110838213993324,0.0175846193901721,5.49762644303244,0.0358354236154461,0.0,0.203598738723907,500,0.0544485425501862,20.3598738723907,0.0,0,0.0,,67,0.8481662115729359
C0_distance_stratified_random_12341,probability_sample,distance_stratified_random,preferred,0,12618,1,12341,130,70,7.665190625610581,45.12434385343058,1395050.0,4997650.0,13_7,D25_50,0.2773826458036984,0.3878588545571687,3,1.4907349523875142,1.1028760978303451,0.7398203792458302,0,False,C0_component_0036,612,1.0,352.0,3.0,0.0085227272727272,0.0834518729255571,0.0110838213993324,0.0114622717939933,4.5106808830260645,0.0203507143220733,0.0,0.1229480439750066,500,0.0471041545431037,12.294804397500664,0.0,0,0.0,,52,0.9616999404706648
C0_distance_stratified_random_453,probability_sample,distance_stratified_random,preferred,0,12618,1,453,12,21,7.605490080237324,45.017410744616875,1390150.0,4985850.0,1_2,D50_75,0.6322901849217639,0.5768823577848713,3,0.6720359736434576,0.0951536158585861,0.1415900630180684,0,False,C0_component_0003,9,0.3333333333333333,351.0,3.0,0.0085470085470085,0.0832147937411095,0.011052333270357,0.1031295942860612,9.8950098852444,0.1805271957632342,0.0119115918170836,0.1037730816816273,500,0.1893823579936404,11.568467349871096,1.1911591817083642,124,4.96,11.736842105263158,100,0.9632227224467464
C0_distance_stratified_random_6626,probability_sample,distance_stratified_random,preferred,0,12618,1,6626,72,130,7.742609364910293,45.07301351227342,1401050.0,4991850.0,7_13,D50_75,0.5298719772403983,0.5278760041365655,1,0.8405188942849968,0.312642890148431,0.3719641429528917,0,False,C0_component_0014,340,0.75,351.0,3.0,0.0085470085470085,0.0832147937411095,0.011052333270357,0.0389055680716343,6.47111977310405,0.0860635736678778,0.0,0.2437695725120901,500,0.0507403406196145,24.376957251209017,0.0,0,0.0,,168,0.9237921699930772
C0_distance_stratified_random_12424,probability_sample,distance_stratified_random,preferred,0,12618,1,12424,131,94,7.695678537918608,45.125596418297334,1397450.0,4997750.0,13_9,D50_75,0.5056899004267426,0.5165922626907785,1,1.266028419048835,0.749436156358056,0.5919583992601891,0,False,C0_component_0036,612,0.75,351.0,3.0,0.0085470085470085,0.0832147937411095,0.011052333270357,0.0164682891013955,3.709749934051337,0.0272917291535817,0.0,0.1786814208897748,500,0.1511478027580467,17.868142088977486,0.0,0,0.0,,75,0.9959648903597864
C0_distance_stratified_random_1492,probability_sample,distance_stratified_random,preferred,0,12618,1,1492,25,99,7.704193413659611,45.030276039883425,1397950.0,4987150.0,2_9,D75_95,0.8726884779516358,0.7409928717901557,1,0.7697155666467661,0.0287226948566101,0.0373159854122989,0,False,C0_component_0005,99,0.5,281.0,3.0,0.0106761565836298,0.0666192508297771,0.0088481642420807,0.0156611780756191,4.9960950103955675,0.0310119953015604,0.0,0.2755062176269732,500,0.0549596535819186,27.55062176269732,0.0,0,0.0,,69,0.9625444167793674
