precision,comparator,period,variable,scope,cluster,n_supports,weighted_mean_support_rmse,weighted_pooled_hourly_rmse,weighted_median_support_rmse,weighted_p95_support_rmse,observed_maximum_support_rmse,unweighted_mean_support_rmse
precision1,assigned_class_medoid,daytime,dry_bulb_temperature,citywide_nonmedoid,,105,0.040217810582075,0.0446259476106771,0.0384636458853619,0.0699641134364594,0.2204551124855229,0.0481455873207443
precision1,assigned_class_medoid,daytime,dry_bulb_temperature,class,0.0,15,0.0351000094895884,0.0362137690378382,0.0388181570282322,0.0473739615975159,0.0473739615975159,0.0355044157406062
precision1,assigned_class_medoid,daytime,dry_bulb_temperature,class,1.0,15,0.0342365876664866,0.035656984915591,0.0324424323305931,0.0504997852520412,0.0701108059727974,0.0379544507788314
precision1,assigned_class_medoid,daytime,dry_bulb_temperature,class,2.0,15,0.0387290182976179,0.0416133202580772,0.0339553830272857,0.0785281265959316,0.0785281265959316,0.0410950039202306
precision1,assigned_class_medoid,daytime,dry_bulb_temperature,class,3.0,15,0.0364019371220482,0.0377117503930098,0.0380758675475388,0.052123842693809,0.0550010377652198,0.0393022662720113
precision1,assigned_class_medoid,daytime,dry_bulb_temperature,class,4.0,15,0.0406629826177947,0.0417853639457494,0.0394887418208482,0.0569787271046463,0.0694235889535851,0.0432441729569436
precision1,assigned_class_medoid,daytime,dry_bulb_temperature,class,5.0,15,0.0422053070278278,0.0461653137436957,0.0468895525355734,0.0699641134364594,0.1046847845180427,0.0472082778990061
precision1,assigned_class_medoid,daytime,dry_bulb_temperature,class,6.0,15,0.0945159733398162,0.1064016049970015,0.0901925894757824,0.2204551124855229,0.2204551124855229,0.092710523677581
precision1,assigned_class_medoid,daytime,relative_humidity,citywide_nonmedoid,,105,0.107296303844217,0.1322029693172489,0.0943615895851755,0.2109502310972899,0.8702713060412377,0.1409546238859478
precision1,assigned_class_medoid,daytime,relative_humidity,class,0.0,15,0.096053389805667,0.1017971550989361,0.0935475363251828,0.1478305830284748,0.1478305830284748,0.0969952834478888
precision1,assigned_class_medoid,daytime,relative_humidity,class,1.0,15,0.0993337954938779,0.1076486398614403,0.0976083872434842,0.1648508389021966,0.2579290547035637,0.1153286748730928
precision1,assigned_class_medoid,daytime,relative_humidity,class,2.0,15,0.1099864004825975,0.1293394546619714,0.0832145271827375,0.2849256892627032,0.2849256892627032,0.1189861083008744
precision1,assigned_class_medoid,daytime,relative_humidity,class,3.0,15,0.0829836040346367,0.0891297037679087,0.0739770419774001,0.1552358641422198,0.1620149945143614,0.0916363215668089
precision1,assigned_class_medoid,daytime,relative_humidity,class,4.0,15,0.0938099451570862,0.0991953450015522,0.0924550983206412,0.1483085762521989,0.2036314156132533,0.1022734178528614
precision1,assigned_class_medoid,daytime,relative_humidity,class,5.0,15,0.1091834475890628,0.1268565917516466,0.1151036856381611,0.2086923846610727,0.3965173733864134,0.1307073327586421
precision1,assigned_class_medoid,daytime,relative_humidity,class,6.0,15,0.3400125726668757,0.3985582409344677,0.3294592220524928,0.8702713060412377,0.8702713060412377,0.3307552284014662
precision1,assigned_class_medoid,nighttime,dry_bulb_temperature,citywide_nonmedoid,,105,0.0592118806982048,0.0699078053911564,0.0562528538088854,0.1058343670175672,0.4448359196757721,0.0740811108751816
precision1,assigned_class_medoid,nighttime,dry_bulb_temperature,class,0.0,15,0.0613586151010075,0.064996686053159,0.0557022416607033,0.094325289684011,0.094325289684011,0.0616974813080157
precision1,assigned_class_medoid,nighttime,dry_bulb_temperature,class,1.0,15,0.0610460895722444,0.0669272976626695,0.0615811451900853,0.1014844163307395,0.1258215014546818,0.0696593240115896
precision1,assigned_class_medoid,nighttime,dry_bulb_temperature,class,2.0,15,0.0697473368760946,0.0827170090054996,0.0624646018479128,0.1652727094627261,0.1652727094627261,0.0733989021377925
precision1,assigned_class_medoid,nighttime,dry_bulb_temperature,class,3.0,15,0.0500163615063324,0.0543109789076746,0.0478773165802175,0.0947720167550388,0.0947720167550388,0.0517089236294276
