k,cluster,descriptor
4,0,"open, low-rise, green"
4,1,"open, low-rise, mixed-green"
4,2,"moderate-density, taller, mixed-green"
4,3,"dense, taller, low-green"
7,0,"open, low-rise, mixed-green"
7,1,"open, low-rise, green"
7,2,"open, mid-rise, green"
7,3,"moderate-density, mid-rise, mixed-green"
7,4,"moderate-density, taller, mixed-green"
7,5,"dense, taller, low-green"
7,6,"dense, mid-rise, low-green"
8,0,"open, low-rise, mixed-green"
8,1,"open, low-rise, green"
8,2,"open, low-rise, green"
8,3,"moderate-density, mid-rise, mixed-green"
8,4,"moderate-density, mid-rise, mixed-green"
8,5,"moderate-density, taller, mixed-green"
8,6,"dense, taller, low-green"
8,7,"dense, mid-rise, low-green"
